etID  | Proto-Indo-European | Proto-Balkan-Indo-European | Archaic Proto-Albanian | Classical Proto-Albanian | Middle Proto-Albanian I | Middle Proto-Albanian II | Late Proto-Albanian I | Late Proto-Albanian II | Late Proto-Albanian III | Proto-Tosk-SGheg {GOLD} | Proto-Tosk {GOLD} | Old North Tosk {GOLD} | Output {GOLD}
0      | ... | ... | ... | ... | ... | ... | ... | #ˌaɣjˈazma# | *#ˌajˈaːzma# | *#ˌajˈaːzm̩# {GOLD: >*} | *#ˌajˈaːzm̩# {GOLD: >*} | *#ajˈazm̩# {GOLD: >*} | *#ajˈazəm# {GOLD: #ajˈazəm#}
1      | ... | ... | ... | ... | ... | #ˌɑdorˈɔɲɔ# | *#ˌaːðorˈɔɲɔ# | *#ˌaðəɾˈɔ̃ɲɔ# | *#ˌaðəɾˈɔ̃ɲə# | *#ˌaðəɾˈɔ̃ɲ# {GOLD: >*} | *#ˌaðəɾˈɔ̃ɲ# {GOLD: >*} | *#aðəɾˈɔɲ# {GOLD: #aðəɾˈɔɲ#} | *#aðəɾˈɔj# {GOLD: #aðəɾˈɔj#}
2      | ... | ... | ... | #ˌɑdˌoːrˈɑːnioː# | *#ˌɑdˌurˈɒːnju# | *#ˌɑdˌurˈoɲu# | *#ˌaːðˌurˈoɲu# | *#ˌaðˌuɾˈɔ̃ɲu# | *#ˌaðˌuɾˈɔ̃ɲə# | *#ˌaðˌuɾˈɔ̃ɲ# {GOLD: >*} | *#ˌaðˌuɾˈɔ̃ɲ# {GOLD: >*} | *#aðuɾˈɔɲ# {GOLD: #aðuɾˈɔɲ#} | *#aðuɾˈɔj# {GOLD: #aðuɾˈɔj#}
3      | ... | ... | ... | ... | ... | ... | ... | ... | #ˌɒrɡˈɒβɑ# | *#ˌaɾɡˈɔvə# {GOLD: >*} | *#ˌaɾɡˈɔvə# {GOLD: >*} | *#aɾɡˈɔvə# {GOLD: >*} | *#aɾɡˈɔvə# {GOLD: #aɾɡˈɔvə#}
4      | ... | ... | ... | ... | ... | ... | ... | ... | #ˌɒrkˈɨtɑ# | *#ˌaɾkˈitə# {GOLD: >*} | *#ˌaɾkˈitə# {GOLD: >*} | *#aɾkˈitə# {GOLD: >*} | *#aɾcˈitə# {GOLD: #aɾcˈitə#}
5      | ... | ... | ... | ... | ... | ... | ... | ... | #ˌɒrdɛnˈit͡sɑ# | *#ˌaɾdɛnˈit͡sə# {GOLD: >*} | *#ˌaɾdɛnˈit͡sə# {GOLD: >*} | *#aɾdɛnˈit͡sə# {GOLD: >*} | *#aɾdɛnˈit͡sə# {GOLD: #aɾdɛnˈit͡sə#}
6      | ... | ... | ... | #ˌɑdrˌɑːtiˈoːnem# | *#ˌɑdrˌɑːt͡ʃjˈɒːnɛ# | *#ˌɑdrˌɑt͡ʃjˈonɛ# | *#ˌaːrrˌat͡ʃˈønɪ# | *#ˌaɾɾəsˈœ̃ɾ̃ɪ# | *#ˌarːəsˈỹe̯ɾ̃ə# | *#ˌaɾsˈỹe̯# {GOLD: #arəsˈyø̯#} | *#ˌaɾsˈỹe̯# {GOLD: >*} | *#aɾsˈye̯# {GOLD: >*} | *#aɾsˈye̯# {GOLD: #aɾsˈye̯#}
7      | ... | ... | ... | #ˌɑlbɑːnˈensum# | *#ˌɑlbɑːnˈɛnsʊ# | *#ˌɑlbɑnˈɛsu# | *#əlbɑ̃ɾ̃ˈɛsu# | *#əlbə̃ɾ̃ˈɛʃu# | *#əlbə̃ɾ̃ˈɛːʃə# | *#əɾbə̃ɾ̃ˈɛːʃ# {GOLD: #aɾbəɾ̃ˈɛʃ#} | *#əɾbə̃ɾ̃ˈɛːʃ# {GOLD: >*} | *#əɾbɾˈɛʃ# {GOLD: >*} | *#əɾbɾˈɛʃ# {GOLD: #aɾbəɾˈɛʃ#}
8      | ... | ... | ... | #ˌinimˈiːkum# | *#ˌɪnɪmˈikʊ# | *#ˌenemˈiku# | *#ˌɑ̃ːɾ̃ɪmˈiku# | *#ˌɑ̃ːɾ̃ɪ̃mˈiku# | *#ˌɑ̃ːɾ̃ə̃mˈikə# | *#ˌãːɾ̃ə̃mˈik# {GOLD: #ˌãɾ̃əmˈik#} | *#ˌãːɾ̃mˈik# {GOLD: >*} | *#aɾmˈik# {GOLD: >*} | *#aɾmˈik# {GOLD: #aɾmˈik#}
9      | ... | ... | ... | #ˌɑrmˈɑːnioː# | *#ˌɑrmˈɒːnju# | *#ˌɑrmˈoɲu# | *#ərmˈoɲu# | *#əɾmˈɔ̃ɲu# | *#əɾmˈɔ̃ɲə# | *#əɾmˈɔ̃ɲ# {GOLD: #aɾmˈɔ̃ɲ#} | *#əɾmˈɔ̃ɲ# {GOLD: ...} | ... {GOLD: ...} | ... {GOLD: ...}
10     | ... | ... | ... | #ˌɑrrˌiːwˈɑːnioː# | *#ˌɑrrˈiwɒːnju# | *#ˌɑrrˈiwoɲu# | *#ˌaːrrˈiwoɲu# | *#ˌaɾɾˈĩːɲu# | *#ˌarːˈĩːɲə# | *#ˌarˈĩːɲ# {GOLD: #ɦarˈĩːɲ#} | *#ˌarˈĩːɲ# {GOLD: >*} | *#arˈiɲ# {GOLD: >*} | *#arˈij# {GOLD: #arˈij#}
11     | ... | ... | ... | ... | ... | ... | ... | #ˌɑxtɑpˈɔði# | *#ˌɑftɑpˈɔðə# | *#ˌaftapˈɔð# {GOLD: >*} | *#ˌaftapˈɔð# {GOLD: >*} | *#aftapˈɔð# {GOLD: >*} | *#aftapˈɔð# {GOLD: #aftapˈɔð#}
12     | ... | ... | ... | ... | ... | ... | ... | ... | #ˌɑβˈitɪ# | *#ˌavˈit# {GOLD: >*} | *#ˌavˈit# {GOLD: >*} | *#avˈit# {GOLD: >*} | *#avˈit# {GOLD: #avˈit#}
13     | ... | ... | ... | ... | ... | ... | ... | #ˌavlˈi# | *#ˌavlˠˈi# | *#ˌavlˠˈi# {GOLD: >*} | *#ˌavlˠˈi# {GOLD: >*} | *#avlˠˈi# {GOLD: >*} | *#avlˠˈi# {GOLD: #avlˠˈi#}
14     | ... | ... | ... | ... | ... | ... | #ˌaβlamˈentu# | *#ˌaβlə̃mˈẽntu# | *#ˌavlə̃mˈɛ̃ndə# | *#ˌavlə̃mˈɛ̃nd# {GOLD: >*} | *#ˌavlə̃mˈɛ̃nd# {GOLD: >*} | *#avləmˈɛnd# {GOLD: >*} | *#avləmˈɛnd# {GOLD: #avləmˈɛnd#}
15     | ... | ... | ... | #ˈɑlium# | *#ˈɑʎʊ# | *#ˈɑʎu# | *#ˈaʎu# | *#ˈaʎu# | *#ˈaːʎə# | *#ˈaːʎ# {GOLD: #ˈaʎ#} | *#ˈaːʎ# {GOLD: >*} | *#ˈaj# {GOLD: >*} | *#ˈaj# {GOLD: #ˈaj#}
16     | ... | ... | ... | #ˈɑːeːr# | *#ˈɑːeːr# | *#ˈɑer# | *#ˈaer# | *#ˈajɾ# | *#ˈajɾ# | *#ˈajɾ̩# {GOLD: >*} | *#ˈajɾ̩# {GOLD: >*} | *#ˈajɾ̩# {GOLD: >*} | *#ˈajəɾ# {GOLD: #ˈajəɾ#}
17     | ... | ... | ... | #ˈɑskulɑ# | *#ˈɑskʊlɑ# | *#ˈɑskulɑ# | *#ˈaskula# | *#ˈaʃkula# | *#ˈaːʃkəlːə# | *#ˈaːʃkl̩ː# {GOLD: #ˈaʃkl̩#} | *#ˈaːʃkl̩ː# {GOLD: >*} | *#ˈaʃkl̩# {GOLD: #ˈaʃklə#} | *#ˈaʃkəl# {GOLD: #ˈaʃkəl#}
18     | ... | ... | ... | #ˈɑsper# | *#ˈɑspɛr# | *#ˈɑspɛr# | *#ˈaspɪr# | *#ˈaʃpɪɾ# | *#ˈaːʃpəɾ# | *#ˈaːʃpɾ̩# {GOLD: >*} | *#ˈaːʃpɾ̩# {GOLD: >*} | *#ˈaʃpɾ̩# {GOLD: >*} | *#ˈaʃpəɾ# {GOLD: #ˈaʃpəɾ#}
19     | ... | ... | ... | ... | ... | ... | ... | #ˈalima# | *#ˈaːlima# | *#ˈaːlimə# {GOLD: >*} | *#ˈaːlim# {GOLD: >*} | *#ˈalm# {GOLD: >*} | *#ˈalm# {GOLD: #ˈaləm#}
20     | ... | ... | ... | #ˈɑwrum# | *#ˈɑwrʊ# | *#ˈɑwru# | *#ˈawru# | *#ˈaːɾu# | *#ˈaːɾə# | *#ˈaːɾ# {GOLD: #ˈaːɾ#} | *#ˈaːɾ# {GOLD: #ˈaːɾ#} | *#ˈaɾ# {GOLD: >*} | *#ˈaɾ# {GOLD: #ˈaɾ#}
21     | ... | ... | ... | #ˈɑrkum# | *#ˈɑrkʊ# | *#ˈɑrku# | *#ˈarku# | *#ˈaɾku# | *#ˈaːɾkə# | *#ˈaːɾk# {GOLD: #ɦˈaɾk#} | *#ˈaːɾk# {GOLD: >*} | *#ˈaɾk# {GOLD: >*} | *#ˈaɾk# {GOLD: #ˈaɾk#}
22     | ... | ... | ... | #ˈɑrkɑm# | *#ˈɑrkɑ# | *#ˈɑrkɑ# | *#ˈarka# | *#ˈaɾka# | *#ˈaːɾka# | *#ˈaːɾkə# {GOLD: >*} | *#ˈaːɾkə# {GOLD: >*} | *#ˈaɾkə# {GOLD: >*} | *#ˈaɾkə# {GOLD: #ˈaɾkə#}
23     | ... | ... | ... | #ˈɑlbɑnum# | *#ˈɑlbɑnʊ# | *#ˈɑlbɑnu# | *#ˈalbɑ̃ɾ̃u# | *#ˈalbɐɾ̃u# | *#ˈaːlbɐɾ̃ə# | *#ˈaːɾbəɾ̃# {GOLD: #ˈaɾbə̃ɾ̃ə#} | *#ˈaːɾbəɾ̃# {GOLD: >*} | *#ˈaɾbəɾ# {GOLD: >*} | *#ˈaɾbəɾ# {GOLD: #ˈaɾbəɾ#}
24     | ... | ... | ... | #ˈɑrmɑ# | *#ˈɑrmɑ# | *#ˈɑrmɑ# | *#ˈarma# | *#ˈaɾma# | *#ˈaːɾma# | *#ˈaːɾmə# {GOLD: >*} | *#ˈaːɾmə# {GOLD: >*} | *#ˈaɾmə# {GOLD: >*} | *#ˈaɾmə# {GOLD: #ˈaɾmə#}
25     | ... | ... | ... | #ˈɑptum# | *#ˈɑptʊ# | *#ˈɑptu# | *#ˈaptu# | *#ˈaptu# | *#ˈaːftə# | *#ˈaːft# {GOLD: >*} | *#ˈaːft# {GOLD: >*} | *#ˈaft# {GOLD: >*} | *#ˈaft# {GOLD: #ˈaft#}
26     | ... | ... | ... | ... | ... | ... | ... | #ˈamja# | *#ˈamja# | *#ˈamɛ# {GOLD: >*} | *#ˈamɛ# {GOLD: >*} | *#ˈamɛ# {GOLD: >*} | *#ˈamɛ# {GOLD: #ˈamɛ#}
27     | ... | ... | ... | ... | ... | ... | #xˌɒrbˈɪlɪ# | *#xˌɑɾˌɑbˈɪlɪ# | *#xˌɑɾˌɑbˈɛːlə# | *#xˌaɾˌabˈɛːl# {GOLD: >*} | *#hˌaɾˌabˈɛːl# {GOLD: >*} | *#haɾabˈɛl# {GOLD: >*} | *#haɾabˈɛl# {GOLD: #haɾabˈɛl#}
28     | ... | ... | ... | #ˌɑbˌerrˈɑːnioː# | *#ˌɑβˌɛrrˈɒːnju# | *#ˌɑvˌɛrrˈoɲu# | *#hˌavˌɛrrˈoɲu# | *#hˌavɪɾɾˈɔ̃ɲu# | *#hˌavərːˈɔ̃ɲə# | *#hˌavərˈɔ̃ɲ# {GOLD: >*} | *#hˌavərˈɔ̃ɲ# {GOLD: >*} | *#havərˈɔɲ# {GOLD: >*} | *#havərˈɔj# {GOLD: #harˈɔj#}
29     | ... | ... | ... | ... | ... | ... | ... | ... | #xˌɑbˈitɪ# | *#xˌabˈit# {GOLD: >*} | *#hˌabˈit# {GOLD: >*} | *#habˈit# {GOLD: >*} | *#habˈit# {GOLD: #habˈit#}
