etID  | Antique Proto-Albanian | Middle Proto-Albanian | Late Proto-Albanian |  Proto-Tosk |  Old Northern Tosk Albanian | Output {GOLD}
0      | #ˌɑberrˈɑːnioː# | #ˌɑerːˈɑːɲoː# | #ɛrːˈaːɲ# | #hɛrˈəːɲ# | #hərˈəɲ# | #hərˈəɲ# {GOLD: #harˈɔj#}
1      | #ˌɑbiˈeːɡnus# | #ˌɑbjˈeːɲu# | #bjˈɛːɲ# | #bjˈɛ̃ːɲ# | #bjˈɛɲ# | #bjˈɛɲ# {GOLD: #vɟˈɛ#}
2      | #ˌɑbiˈeːɡneɑ# | #ˌɑbjˈeːɲɑ# | #bjˈɛːɲə# | #bjˈɛ̃ːɲə# | #bjˈɛɲə# | #bjˈɛɲə# {GOLD: #vɟˈɛɲə#}
3      | #ˌɑblewˈɑːnioː# | #ˌɑbleˈɑːɲoː# | #blˈaːɲ# | #blˈəːɲ# | #blˈəɲ# | #blˈəɲ# {GOLD: #blˈɛj#}
4      | #ˌɑdiuːnˈɑːnioː# | #ˌɑdjuːnˈɑːɲoː# | #?ənˈaːɲ# | #?ə̃ɾˈəːɲ# | #?əɾˈəɲ# | #?əɾˈəɲ# {GOLD: #aɟəɾˈɔj#}
5      | #ˌɑdoːrˈɑːnioː# | #ˌɑdoːrˈɑːɲoː# | #ɛrˈaːɲ# | #hɛɾˈəːɲ# | #həɾˈəɲ# | #həɾˈəɲ# {GOLD: #aðuɾˈoj#}
6      | #ˈɑːeːr# | #ˈɑːər# | #ˈaːr# | #hˈaːɾ# | #hˈaɾ# | #hˈaɾ# {GOLD: #ˈɛɾə#}
7      | #ˈɑːeːr# | #ˈɑːər# | #ˈaːr# | #hˈaːɾ# | #hˈaɾ# | #hˈaɾ# {GOLD: #ˈajəɾ#}
8      | #ˌae̯rˈɑmen# | #ˌɛrˈɑmən# | #rˈaːmn# | #ɾˈəːmn# | #ɾˈəmn# | #ɾˈəmn# {GOLD: #rˈɛmb#}
9      | #ˌae̯stimˈɑːnioː# | #ˌɛstimˈɑːɲoː# | #ʃtəmˈaːɲ# | #ʃtə̃mˈəːɲ# | #ʃtəmˈəɲ# | #t͡ʃtəmˈəɲ# {GOLD: #t͡ʃmˈɔj#}
10     | #ˈae̯tɑːtem# | #ˈɛtətəm# | #jˈɛtt# | #jˈɛtt# | #jˈɛtt# | #jˈɛtt# {GOLD: #jˈɛtə#}
11     | #ˌɑkˈinɡlum# | #ˌɑkˈinɡləm# | #cˈɛːnɡl# | #cˈɛ̃ːnɡʎ# | #cˈɛnɟ# | #cˈɛnɟ# {GOLD: #cˈɛɲɟ#}
12     | #ˌɑkkˈipitum# | #ˌɑkkˈipətəm# | #kcˈɛːft# | #kcˈɛːft# | #kcˈɛft# | #kcˈɛft# {GOLD: #cˈift#}
13     | #ˌɑkkˈipitrem# | #ˌɑkkˈipətrəm# | #kcˈɛːftr# | #kcˈɛːftɾ# | #kcˈɛftɾ# | #kcˈɛftɾ# {GOLD: #cˈiftəɾ#}
14     | #ˌɑksˈunɡiɑ# | #ˌɑksˈuɲjɑ# | #fʃˈyːɲe# | #fʃˈỹːɲe# | #fʃˈyɲe# | #fʃˈyɲe# {GOLD: #aʃˈuɲə#}
15     | #ˈɑlbɑnum# | #ˈɑlbənəm# | #ˈaːlbn# | #hˈaːlbn# | #hˈalbn# | #hˈalbn# {GOLD: #ˈaɾbəɾ#}
16     | #ˌɑlbɑːnˈensis# | #ˌɑlbɑːnˈeːsi# | #əlbənˈiːʃ# | #həlbə̃ɾˈiːʃ# | #həlbəɾˈiʃ# | #həlbəɾˈiʃ# {GOLD: #aɾbəɾɛʃ#}
17     | #ˈɑlium# | #ˈɑʎəm# | #ˈɛːʎ# | #hˈɛːʎ# | #hˈɛj# | #hˈɛj# {GOLD: #ˈaj#}
18     | #ˌɑllˈeːɡorˈiɑ# | #ˌɑlˈeːɡərˈiɑ# | #lˈiɡrˈɛə# | #lˈiɡɾˈɛː# | #lˈiɡɾˈɛ# | #lˈiɡɾˈɛ# {GOLD: #lˈɔɡɔɾˈi#}
19     | #ˌɑltˈɑːrium# | #ˌɑltˈɑːrjəm# | #əltˈɛːrj# | #həltˈɛːɾj# | #həltˈɛɾj# | #həltˈɛɾj# {GOLD: #ltˈɛɾ#}
20     | #ˌɑlterˈɑːnioː# | #ˌɑlterˈɑːɲoː# | #əltərˈaːɲ# | #həltəɾˈəːɲ# | #həltəɾˈəɲ# | #həltəɾˈəɲ# {GOLD: #ndərˈɔj#}
21     | #ˌɑlwˈeolum# | #ˌɑlbˈeəlːəm# | #əlbjˈɛːlː# | #həlbjˈɛːlˠ# | #həlbjˈɛlˠ# | #həlbjˈɛlˠ# {GOLD: #nˈulˠə#}
22     | #ˌɑmˈɑːrɑkiː# | #ˌɑmˈɑːrəkiː# | #mˈɛːrc# | #mˈɛːɾc# | #mˈɛɾc# | #mˈɛɾc# {GOLD: #maɾˈac#}
23     | #ɑmbibˌoreˈɑːnus# | #ɑmbiˌorjˈɑːnu# | #əmbəərjˈaːn# | #hə̃mbəəɾjˈəːn# | #həmbəəɾjˈən# | #həmbəəɾjˈən# {GOLD: #mˈurə#}
24     | #ɑmbipˌɑtˈiːnum# | #ɑmbipˌɑtˈiːnəm# | #əmbəpətˈiːn# | #hə̃mbəpətˈĩːn# | #həmbəpətˈin# | #həmbəpətˈin# {GOLD: #mtˈi#}
25     | #ɑmbipˌekkˈɑːtum# | #ɑmbipˌekkˈɑːtəm# | #əmbəpəkkˈat# | #hə̃mbəpəkkˈat# | #həmbəpəkkˈat# | #həmbəpəkkˈat# {GOLD: #məkˈat#}
26     | #ɑmbipˌensˈɑːnioː# | #ɑmbipˌeːsˈɑːɲoː# | #əmbəpəʃˈaːɲ# | #hə̃mbəpəʃˈəːɲ# | #həmbəpəʃˈəɲ# | #həmbəpəʃˈəɲ# {GOLD: #məʃˈɔj#}
27     | #ˌɑmbulˈɑːnioː# | #ˌɑmbulːˈɑːɲoː# | #əmbəlːˈaːɲ# | #hə̃mbəlˠˈəːɲ# | #həmbəlˠˈəɲ# | #həmbəlˠˈəɲ# {GOLD: #mbalˠˈɔj#}
28     | #ˌɑmˈɑndolɑ# | #ˌɑmˈɑndəlːɑ# | #mˈaːndlːə# | #mˈəːndlˠə# | #mˈəndlˠə# | #mˈəndlˠə# {GOLD: #mˈɛndulˠ#}
29     | #ˈɑmiɑ# | #ˈɑmjɑ# | #ˈɛːme# | #hˈɛ̃ːmbe# | #hˈɛmbe# | #hˈɛmbe# {GOLD: #ˈamɛ#}
30     | #ˌɑmˈiːkus# | #ˌɑmˈiːku# | #mˈik# | #mˈik# | #mˈik# | #mˈik# {GOLD: #mˈik#}
31     | #ˈɑmitɑm# | #ˈɑmətəm# | #ˈaːmt# | #hˈəːmt# | #hˈəmt# | #hˈəmt# {GOLD: #ˈɛmtə#}
32     | #ˌɑmˈurɡɑ# | #ˌɑmˈurɡɑ# | #mˈuːrɡə# | #mˈuːɾɡə# | #mˈuɾɡə# | #mˈuɾɡə# {GOLD: #mˈuɾɡə#}
33     | #ˈɑnɡelum# | #ˈɑnɡəlːəm# | #ˈaːnɡlː# | #hˈəːnɡlˠ# | #hˈənɡlˠ# | #hˈənɡlˠ# {GOLD: #ˈəɲɟəlˠ#}
34     | #ˌɑnɡuˈillɑ# | #ˌɑɲˈilɑ# | #ɲˈɛːlə# | #ɲˈɛːlə# | #ɲˈɛlə# | #ɲˈɛlə# {GOLD: #ɲɟˈɛlə#}
35     | #ˌɑnɡuˈillɑ# | #ˌɑɲˈilɑ# | #ɲˈɛːlə# | #ɲˈɛːlə# | #ɲˈɛlə# | #ɲˈɛlə# {GOLD: #ɲɟˈalə#}
36     | #ˌɑnɡuˈillɑ# | #ˌɑɲˈilɑ# | #ɲˈɛːlə# | #ɲˈɛːlə# | #ɲˈɛlə# | #ɲˈɛlə# {GOLD: #ɲˈilə#}
37     | #ˌɑnɡˈustus# | #ˌɑnɡˈustu# | #ənɡˈuːʃt# | #hə̃nɡˈuːʃt# | #hənɡˈuʃt# | #hənɡˈut͡ʃt# {GOLD: #ŋɡˈuʃtə#}
38     | #ˌɑnɡustˈɑnioː# | #ˌɑnɡustˈɑɲoː# | #ənɡəʃtˈaːɲ# | #hə̃nɡəʃtˈəːɲ# | #hənɡəʃtˈəɲ# | #hənɡət͡ʃtˈəɲ# {GOLD: #ŋɡuʃtˈɔj#}
39     | #ˌɑntˈoːnius# | #ˌɑntˈoːɲu# | #əndˈɛːɲ# | #hə̃ndˈɛ̃ːɲ# | #həndˈɛɲ# | #həndˈɛɲ# {GOLD: #ndˈue#}
40     | #ˌɑnˈullɑm# | #ˌɑnˈuləm# | #nˈuːl# | #nˈuːl# | #nˈul# | #nˈul# {GOLD: #nˈulə#}
41     | #ˌɑppˌɑrɑmˈentum# | #ˌɑppˌɑrɑmˈentəm# | #ppərəmjˈɛːnd# | #ppəɾə̃mjˈɛ̃ːnd# | #ppəɾəmjˈɛnd# | #ppəɾəmjˈɛnd# {GOLD: #paɾmˈɛndə#}
42     | #ˌɑprˈiːlis# | #ˌɑprˈiːʎi# | #prˈiːʎ# | #pɾˈiːʎ# | #pɾˈij# | #pɾˈij# {GOLD: #prˈilˠ#}
43     | #ˈɑptum# | #ˈɑptəm# | #ˈaːft# | #hˈaːft# | #hˈaft# | #hˈaft# {GOLD: #ˈaftə#}
44     | #ˌɑrˈeːnɑ# | #ˌɑrˈeːnɑ# | #rˈɛːnə# | #ɾˈɛ̃ːɾə# | #ɾˈɛɾə# | #ɾˈɛɾə# {GOLD: #ɾˈəɾə#}
45     | #ˌɑrɡˈentum# | #ˌɑrɡˈentəm# | #ərɟjˈɛːnd# | #həɾɟjˈɛ̃ːnd# | #həɾɟjˈɛnd# | #həɾɟjˈɛnd# {GOLD: #aɾɟˈɛnd#}
