etID  | Proto-Indo-European | Proto-Balkan-Indo-European | Archaic Proto-Albanian | Classical Proto-Albanian | Middle Proto-Albanian I | Middle Proto-Albanian II | Late Proto-Albanian I | Late Proto-Albanian II | Late Proto-Albanian III | Proto-Tosk-SGheg {GOLD} | Proto-Tosk | Old North Tosk | Standard Albanian | Output {GOLD}
0      | ... | ... | ... | ... | ... | ... | ... | ... | #ˌɒrɡˈɒβɑ# | *#hˌarɡˈaːvə# {GOLD: >*} | *#hˌaɾɡˈaːvə# | *#həɾɡˈavə# | *#həɾɡˈavə# | *#həɾɡˈavə# {GOLD: #aɾɡˈɔvə#}
1      | ... | ... | ... | ... | ... | ... | ... | ... | #ˌɒrkˈɨtɑ# | *#hˌarkˈitə# {GOLD: >*} | *#hˌaɾkˈitə# | *#həɾkˈitə# | *#həɾcˈitə# | *#həɾt͡ʃˈitə# {GOLD: #aɾcˈitə#}
2      | ... | ... | ... | ... | ... | ... | ... | ... | #ˌɒrdɛnˈit͡sɑ# | *#hˌardɛ̃nˈiːt͡sə# {GOLD: >*} | *#hˌaɾdɛ̃ɾˈiːt͡sə# | *#hˌaɾdəɾˈit͡sə# | *#haɾdəɾˈit͡sə# | *#haɾdəɾˈit͡sə# {GOLD: #aɾdɛnˈit͡sə#}
3      | ... | ... | ... | ... | ... | ... | ... | ... | #ˌɑβˈitɪ# | *#hˌavˈit# {GOLD: >*} | *#hˌavˈit# | *#həvˈit# | *#həvˈit# | *#həvˈit# {GOLD: #avˈit#}
4      | ... | ... | ... | ... | ... | ... | #xˌɒrbˈɪlɪ# | *#xˌɒrbˈɪlɪ# | *#xˌɒrbˈɪlɪ# | *#xˌarbˈɪːl# {GOLD: >*} | *#hˌaɾbˈɪːl# | *#həɾbˈɪl# | *#həɾbˈɪl# | *#həɾbˈɪl# {GOLD: #haɾabˈɛl#}
5      | ... | ... | ... | ... | ... | ... | ... | ... | #xˌɑbˈitɪ# | *#xˌabˈit# {GOLD: >*} | *#hˌabˈit# | *#həbˈit# | *#həbˈit# | *#həbˈit# {GOLD: #habˈit#}
6      | ... | ... | ... | ... | ... | ... | ... | ... | #xˌɨtˈɑtɪ# | *#xˌitˈat# {GOLD: >*} | *#hˌitˈat# | *#hətˈat# | *#hətˈat# | *#hətˈat# {GOLD: #hitˈat#}
7      | ... | ... | ... | ... | ... | ... | ... | #xˌɒɾmˈɒβɑ# | *#xˌɒɾmˈɒβɑ# | *#xˌaɾmˈaːvə# {GOLD: #xˌɒrmˈɔvə#} | *#hˌaɾmˈaːvə# | *#həɾmˈavə# | *#həɾmˈavə# | *#həɾmˈavə# {GOLD: #hɔɾmˈɔvə#}
8      | ... | ... | ... | ... | ... | ... | ... | ... | #xˈɔːrɑ# | *#xˈɔːrə# {GOLD: >*} | *#hˈɔːɾə# | *#hˈɔɾə# | *#hˈɔɾə# | *#hˈɔɾə# {GOLD: #hˈɔɾə#}
9      | ... | ... | ... | ... | ... | ... | ... | ... | #xˌukˈɑtɪ# | *#xˌukˈat# {GOLD: >*} | *#hˌukˈat# | *#həkˈat# | *#həkˈat# | *#həkˈat# {GOLD: #hukˈat#}
10     | ... | ... | ... | ... | ... | ... | ... | ... | #jˌɑrˈinɑ# | *#jˌarˈĩːnə# {GOLD: >*} | *#jˌaɾˈĩːɾə# | *#jəɾˈiɾə# | *#jəɾˈiɾə# | *#jəɾˈiɾə# {GOLD: #jaɾˈinə#}
11     | ... | ... | ... | ... | ... | ... | #jˌɑrˈɒwʊ# | *#jˌɑrˈɒwʊ# | *#jˌɑrˈɒwʊ# | *#jˌarˈaw# {GOLD: >*} | *#jˌaɾˈaw# | *#jəɾˈaw# | *#jəɾˈaw# | *#jəɾˈaw# {GOLD: #jaɾˈua̯#}
12     | ... | ... | ... | ... | ... | ... | #ˈæzʊ# | *#ˈæzʊ# | *#ˈæzʊ# | *#hˈɛːz# {GOLD: >*} | *#hˈɛːz# | *#hˈɛs# | *#hˈɛs# | *#hˈɛs# {GOLD: #jˈaz#}
13     | ... | ... | ... | ... | ... | ... | ... | ... | #jˈɑrɪmʊ# | *#jˈaːr# {GOLD: >*} | *#jˈaːɾ# | *#jˈaɾ# | *#jˈaɾ# | *#jˈaɾ# {GOLD: #jˈaɾm#}
14     | ... | ... | ... | ... | ... | ... | #ˈɛzɛrʊ# | *#ˈɛzɛrʊ# | *#ˈɛzɛrʊ# | *#hˈɛːzɛr# {GOLD: >*} | *#hˈɛːzɛɾ# | *#hˈɛzɛɾ# | *#hˈɛzɛɾ# | *#hˈɛzɛɾ# {GOLD: #jˈɛzəɾ#}
15     | ... | ... | ... | ... | ... | ... | ... | ... | #jˈuɡʊ# | *#jˈuɡ# {GOLD: >*} | *#jˈuɡ# | *#jˈuɡ# | *#jˈuɡ# | *#jˈuɡ# {GOLD: #jˈuɡ#}
16     | ... | ... | ... | ... | ... | ... | ... | ... | #jˈudʊ# | *#jˈud# {GOLD: >*} | *#jˈud# | *#jˈud# | *#jˈud# | *#jˈud# {GOLD: #jˈud#}
17     | ... | ... | ... | ... | ... | ... | ... | ... | #jˈɪskrɑ# | *#jˈɪːskrə# {GOLD: >*} | *#jˈɪːskɾə# | *#jˈɪskɾə# | *#jˈɪskɾə# | *#jˈɪskɾə# {GOLD: #ˈiskəɾ#}
18     | ... | ... | ... | ... | ... | ... | ... | ... | #ˈiβɑ# | *#hˈiːvə# {GOLD: >*} | *#hˈiːvə# | *#hˈivə# | *#hˈivə# | *#hˈivə# {GOLD: #ˈivə#}
19     | ... | ... | ... | ... | ... | ... | ... | ... | #ˌɒbʊkˈɨtɑ# | *#hˌabkˈitə# {GOLD: >*} | *#hˌabkˈitə# | *#həbkˈitə# | *#həbcˈitə# | *#həbt͡ʃˈitə# {GOLD: #ɔkˈitə#}
